Date,Open_Eth,High_Eth,Low_Eth,Close_Eth,Adj.Close_Eth,Volume_Eth,Open_sp,High_sp,Low_sp,Close_sp,Adj.Close_sp,Volume_sp
2019-01-04,141.465485,142.733994,140.737564,141.830322,141.830322,4611999536,2474.33,2538.07,2474.33,2531.94,2531.94,4213410000.0
2019-02-04,141.839523,165.226822,141.636459,163.961746,163.961746,9826645698,2706.49,2724.99,2698.75,2724.87,2724.87,3359840000.0
2019-03-04,164.008636,178.322052,157.322144,161.458801,161.458801,10622456246,2814.37,2816.88,2767.66,2792.81,2792.81,3919810000.0
2019-04-04,161.431763,164.929214,155.241104,158.052536,158.052536,7953123529,2873.99,2881.28,2867.14,2879.39,2879.39,3015180000.0
2019-06-04,165.511246,172.515778,161.799469,165.947205,165.947205,7167016221,2762.64,2804.49,2762.64,2803.27,2803.27,3810430000.0
2019-09-04,180.222122,180.254227,175.091751,176.114578,176.114578,7632529578,2924.67,2938.84,2921.86,2937.78,2937.78,3163260000.0
2019-10-04,176.067841,183.134277,175.230377,177.337479,177.337479,7856924879,2918.56,2953.74,2918.56,2952.01,2952.01,2990830000.0
2019-11-04,177.342758,177.487488,162.320618,165.497025,165.497025,7859383417,3078.96,3085.2,3074.87,3078.27,3078.27,4146850000.0
2019-12-04,165.335205,166.127518,161.029739,164.736328,164.736328,6237185309,3103.5,3119.38,3102.53,3112.76,3112.76,3695030000.0
2019-04-15,167.897476,168.818451,159.55574,161.574173,161.574173,5672311824,2908.32,2909.6,2896.48,2905.58,2905.58,3088330000.0
2019-04-16,161.52655,167.666321,160.888748,167.623444,167.623444,5180105341,2912.26,2916.06,2900.71,2907.06,2907.06,3402210000.0
2019-04-17,167.553696,168.938583,165.501892,166.95076,166.95076,5596102715,2916.04,2918.0,2895.45,2900.45,2900.45,3602300000.0
2019-04-18,166.913208,175.365326,166.672119,173.814026,173.814026,6971581464,2904.81,2908.4,2891.9,2905.03,2905.03,3506850000.0
2019-04-22,170.017487,173.069122,168.729553,171.874664,171.874664,6094878077,2898.78,2909.51,2896.35,2907.97,2907.97,2997950000.0
2019-04-23,172.007217,176.850784,170.896759,171.4478,171.4478,7097827092,2909.99,2936.31,2908.53,2933.68,2933.68,3635030000.0
2019-04-24,171.349533,171.573212,161.976685,165.826096,165.826096,7351304156,2934.0,2936.83,2926.05,2927.25,2927.25,3448960000.0
2019-04-25,165.914734,166.513412,153.847,154.459396,154.459396,6820332362,2928.99,2933.1,2912.84,2926.17,2926.17,3425280000.0
2019-04-26,154.579437,158.029007,152.085678,156.347092,156.347092,7505283355,2925.81,2939.88,2917.56,2939.88,2939.88,3248500000.0
2019-04-29,157.291061,158.333923,153.186523,155.201996,155.201996,6053776253,2940.58,2949.52,2939.35,2943.03,2943.03,3118780000.0
2019-04-30,155.172775,162.432251,155.172775,162.166031,162.166031,6275803460,2937.14,2948.22,2924.11,2945.83,2945.83,3919330000.0
2019-02-05,160.853577,162.937012,160.060699,162.122787,162.122787,6044171062,2728.34,2738.98,2724.03,2737.7,2737.7,3560430000.0
